fpr,tpr
0.0,0.0
0.0017401234400065255,0.006103619588360539
0.0036161940237635607,0.0120652945351313
0.006090432040022839,0.018452803406671398
0.008347154626281302,0.024982256919801278
0.01011446749503793,0.03250532292405962
0.012235242937545882,0.038608942512420155
0.015171701242556894,0.044712562100780694
0.018053780690067703,0.0511000709723208
0.020201745561325757,0.057487579843860895
0.02248565757633432,0.06302342086586231
0.02536773702384513,0.0695528743789922
0.027216618178852063,0.07508871540099361
0.02979961391011175,0.08119233498935415
0.03181163163761929,0.08672817601135557
0.03398678593762745,0.09268985095812633
0.03689605481388836,0.09836763662171753
0.039750944832649064,0.10333569907735983
0.042333940563908753,0.10872959545777147
0.04513445172516926,0.11426543647977289
0.04760868974142853,0.11980127750177431
0.04953913918268577,0.12505322924059617
0.05190461948394464,0.13058907026259758
0.05421572092770331,0.13626685592618878
0.05671714837271269,0.14095102909865154
0.06006144810897523,0.14577714691270405
0.06329699013023736,0.15074520936834634
0.06615188014899807,0.15628105039034776
0.06960493760026101,0.16124911284599006
0.07303080562277386,0.16735273243435062
0.07602164278528509,0.17274662881476224
0.0790940482340466,0.17785663591199433
0.08205769596780772,0.18325053229240595
0.08504853313031893,0.18878637331440737
0.0888278637265831,0.19446415897799857
0.09228092117784606,0.1994322214336409
0.09565241034285869,0.20482611781405252
0.09826259550286849,0.20965223562810503
0.10234100981538378,0.2156139105748758
0.1054406046928954,0.221291696238467
0.10834987356915632,0.22583392476933994
0.11125914244541722,0.23165365507452093
0.11541912504418282,0.23662171753016323
0.11838277277794393,0.24201561391057488
0.12194458794420729,0.2474095102909865
0.12605019168547268,0.25294535131298795
0.1289594605617336,0.2574875798438609
0.13195029772424482,0.26273953158268276
0.13662687946926236,0.26841731724627393
0.1414937872155306,0.2731014904187367
0.1471219989668017,0.2786373314407381
0.15054786698931455,0.2844570617459191
0.1538921667255771,0.2894251242015614
0.1567470567443378,0.2945351312987935
0.1606079556268523,0.2996451383960255
0.16449604393811687,0.3048970901348474
0.16881916310938308,0.3098651525904897
0.17265287256314746,0.31469127040454226
0.1774925908806656,0.31965933286018455
0.1815710051931809,0.32491128459900637
0.18554066179069578,0.3305890702625976
0.1899725386769624,0.33598296664300925
0.19462193099322983,0.3420865862313698
0.1982653144457435,0.3470546486870121
0.20169118246825635,0.3530163236337828
0.2039750944832649,0.35727466288147625
0.20734658364827754,0.36195883605393897
0.2135457734033008,0.36777856635911993
0.2177873242883167,0.37260468417317244
0.2216482231708312,0.37757274662881474
0.22537317490959516,0.38325053229240597
0.22931564207835994,0.38850248403122783
0.23230647924087114,0.39332860184528035
0.23668397726963755,0.398722498225692
0.24040892900840152,0.40298083747338537
0.24562929932842112,0.4078069552874379
0.24989803964218713,0.41305890702625975
0.2535414230947008,0.4183108587650816
0.258136436553468,0.42441447835344215
0.2638190271622393,0.42895670688431514
0.26827809347725606,0.43435060326472674
0.2730906223660241,0.44002838892831797
0.27831099268604365,0.44499645138396027
0.2816552924223062,0.44996451383960256
0.28502678158731887,0.45493257629524486
0.2887789227548329,0.4594748048261178
0.29348269392860055,0.4645848119233499
0.29747953995486554,0.4695528743789922
0.3035699719948884,0.4750887154009936
0.3077843334511542,0.4804826117814053
0.31156366404741836,0.4854506742370476
0.31672965550993776,0.4899929027679205
0.321324668968705,0.4952448545067424
0.3258924929987221,0.500638750887154
0.32910084559123415,0.5054648687012065
0.3339677533375024,0.5102909865152591
0.33926969194377227,0.5152590489709014
